txNomeParlamentar;idecadastro;sgPartido;sgUF;numMes;totalGastosMes;sexo;numeroComissoes
MAURO MARIANI;141507.0;MDB;SC;9;35932.31000000001;M;5.0
MAURO MARIANI;141507.0;MDB;SC;10;39029.22000000003;M;5.0
MAURO MARIANI;141507.0;MDB;SC;11;29050.97000000001;M;5.0
MAURO MARIANI;141507.0;MDB;SC;12;62240.43000000004;M;5.0
ROGÉRIO PENINHA MENDONÇA;160651.0;MDB;SC;1;18469.9;M;25.0
ROGÉRIO PENINHA MENDONÇA;160651.0;MDB;SC;2;28026.599999999988;M;25.0
ROGÉRIO PENINHA MENDONÇA;160651.0;MDB;SC;3;20382.64999999998;M;25.0
ROGÉRIO PENINHA MENDONÇA;160651.0;MDB;SC;4;53149.819999999956;M;25.0
ROGÉRIO PENINHA MENDONÇA;160651.0;MDB;SC;5;30439.030000000013;M;25.0
ROGÉRIO PENINHA MENDONÇA;160651.0;MDB;SC;6;39334.09;M;25.0
ROGÉRIO PENINHA MENDONÇA;160651.0;MDB;SC;7;26401.519999999975;M;25.0
ROGÉRIO PENINHA MENDONÇA;160651.0;MDB;SC;8;36295.87000000001;M;25.0
ROGÉRIO PENINHA MENDONÇA;160651.0;MDB;SC;9;22011.500000000007;M;25.0
ROGÉRIO PENINHA MENDONÇA;160651.0;MDB;SC;10;34808.27000000001;M;25.0
ROGÉRIO PENINHA MENDONÇA;160651.0;MDB;SC;11;31742.19;M;25.0
ROGÉRIO PENINHA MENDONÇA;160651.0;MDB;SC;12;44105.58000000002;M;25.0
RONALDO BENEDET;160515.0;MDB;SC;1;22098.119999999984;M;27.0
RONALDO BENEDET;160515.0;MDB;SC;2;55451.93999999999;M;27.0
RONALDO BENEDET;160515.0;MDB;SC;3;44451.06000000001;M;27.0
RONALDO BENEDET;160515.0;MDB;SC;4;43175.08000000002;M;27.0
RONALDO BENEDET;160515.0;MDB;SC;5;42696.64999999998;M;27.0
RONALDO BENEDET;160515.0;MDB;SC;6;40862.030000000006;M;27.0
RONALDO BENEDET;160515.0;MDB;SC;7;30058.840000000004;M;27.0
RONALDO BENEDET;160515.0;MDB;SC;8;54098.450000000004;M;27.0
RONALDO BENEDET;160515.0;MDB;SC;9;38971.51000000002;M;27.0
RONALDO BENEDET;160515.0;MDB;SC;10;30263.350000000017;M;27.0
RONALDO BENEDET;160515.0;MDB;SC;11;25369.21;M;27.0
RONALDO BENEDET;160515.0;MDB;SC;12;48879.150000000016;M;27.0
VALDIR COLATTO;74010.0;MDB;SC;2;15481.770000000008;M;2.0
VALDIR COLATTO;74010.0;MDB;SC;3;20505.19999999999;M;2.0
VALDIR COLATTO;74010.0;MDB;SC;4;20212.32;M;2.0
VALDIR COLATTO;74010.0;MDB;SC;5;35067.929999999986;M;2.0
VALDIR COLATTO;74010.0;MDB;SC;6;18064.27;M;2.0
VALDIR COLATTO;74010.0;MDB;SC;7;39049.24999999998;M;2.0
VALDIR COLATTO;74010.0;MDB;SC;8;32331.17;M;2.0
VALDIR COLATTO;74010.0;MDB;SC;9;32005.439999999988;M;2.0
VALDIR COLATTO;74010.0;MDB;SC;10;27088.849999999995;M;2.0
VALDIR COLATTO;74010.0;MDB;SC;11;44499.90000000001;M;2.0
VALDIR COLATTO;74010.0;MDB;SC;12;49507.91999999999;M;2.0
