
DÉCIO LIMA;141413.0;PT;SC;2;25513.64;M;21.0
DÉCIO LIMA;141413.0;PT;SC;3;51596.44999999998;M;21.0
DÉCIO LIMA;141413.0;PT;SC;4;34885.030000000006;M;21.0
DÉCIO LIMA;141413.0;PT;SC;5;33225.35;M;21.0
DÉCIO LIMA;141413.0;PT;SC;6;70088.30999999997;M;21.0
DÉCIO LIMA;141413.0;PT;SC;7;9851.28;M;21.0
DÉCIO LIMA;141413.0;PT;SC;8;184.51;M;21.0
PEDRO UCZAI;160604.0;PT;SC;1;40528.80999999999;M;23.0
PEDRO UCZAI;160604.0;PT;SC;2;45894.38999999998;M;23.0
PEDRO UCZAI;160604.0;PT;SC;3;50266.51999999997;M;23.0
PEDRO UCZAI;160604.0;PT;SC;4;41147.4;M;23.0
PEDRO UCZAI;160604.0;PT;SC;5;50282.039999999986;M;23.0
PEDRO UCZAI;160604.0;PT;SC;6;44915.399999999965;M;23.0
PEDRO UCZAI;160604.0;PT;SC;7;1999.4;M;23.0
PEDRO UCZAI;160604.0;PT;SC;8;98.13;M;23.0

OSVALDO MAFRA;202063.0;SD;SC;5;27200.300000000003;M;2
OSVALDO MAFRA;202063.0;SD;SC;6;9445.769999999997;M;2
OSVALDO MAFRA;202063.0;SD;SC;7;1305.3400000000001;M;2
