ideCadastro,nome, sexo, condicao, comissoesNo
178830,SINVAL MALHEIROS PINTO JÚNIOR,M,Em Exercício,0
92355,VITOR PAULO ARAÚJO DOS SANTOS,M,Em Exercício,28
178843,MARX BELTRÃO LIMA SIQUEIRA,M,Em Exercício,22
178903,ADILTON DOMINGOS SACHETTI,M,Em Exercício,26
178914,ADALBERTO CAVALCANTI RODRIGUES,M,Em Exercício,15
160512,AUREO LIDIO MOREIRA RIBEIRO,M,Em Exercício,35
178993,CARLOS HENRIQUE AMORIM,M,Em Exercício,91
160599,DIMAS FABIANO TOLEDO JÚNIOR,M,Em Exercício,17
160570,JERÔNIMO PIZZOLOTTO GOERGEN,M,Em Exercício,32
141482,LEONARDO LEMOS BARROS QUINTÃO,M,Em Exercício,23
74439,WOLNEY QUEIROZ MACIEL,M,Em Exercício,14
66828,FAUSTO RUY PINATO,M,Em Exercício,48
93472,CRISTIANE BRASIL FRANCISCO,F,Em Exercício,46
141535,ROGÉRIO SIMONETTI MARINHO,M,Em Exercício,15
141472,JOSÉ RICARDO ALVARENGA TRIPOLI,M,Em Exercício,15
73463,OSMAR JOSÉ SERRAGLIO,M,Em Exercício,35
141555,VINICIUS RAPOZO DE CARVALHO,M,Em Exercício,11
164360,CARMEN EMÍLIA BONFÁ ZANOTTO,F,Suplência,42
178997,MOSES HAENDEL MELO RODRIGUES,M,Em Exercício,41
141509,MIGUEL CORRÊA DA SILVA JÚNIOR,M,Em Exercício,14
178854,ELMAR JOSE VIEIRA NASCIMENTO,M,Em Exercício,32
178984,MIGUEL MOUBADDA HADDAD,M,Em Exercício,37
74160,PATRUS ANANIAS DE SOUSA,M,Licenciado,8
113247,VALMIR PRASCIDELLI,M,Em Exercício,21
73579,JOÃO ALBERTO FRAGA SILVA,M,Licenciado,34
160649,ESPERIDIÃO AMIN HELOU FILHO,M,Em Exercício,41
132504,ENIO JOSÉ VERRI,M,Em Exercício,28
160643,JORGE SILVA,M,Em Exercício,22
141488,LUIZ PAULO TEIXEIRA FERREIRA,M,Em Exercício,30
73930,WLADIMIR AFONSO DA COSTA RABELO,M,Em Exercício,16
160561,JOSÉ OLIMPIO SILVEIRA MORAES,M,Em Exercício,22
160612,SERGIO ZVEITER,M,Em Exercício,25
73714,José Reinaldo Carneiro Tavares,M,Em Exercício,12
73486,DARCI POMPEO DE MATTOS,M,Em Exercício,26
74057,ALICE MAZZUCO PORTUGAL,F,Em Exercício,38
160531,JOHNATHAN PEREIRA DE JESUS,M,Em Exercício,18
160674,HUGO MOTTA WANDERLEY DA NÓBREGA,M,Em Exercício,37
73553,NELSON MARQUEZELLI,M,Em Exercício,35
160622,VICENTE CÂNDIDO DA SILVA,M,Em Exercício,25
178967,JOAO PAULO KARAM KLEINUBING,M,Em Exercício,17
74158,MÁRIO LÚCIO HERINGER,M,Em Exercício,38
74784,LUIZA ERUNDINA DE SOUSA,F,Em Exercício,30
74398,MARIA DO ROSÁRIO NUNES,F,Em Exercício,23
74163,CARLOS HUMBERTO MANNATO,M,Em Exercício,28
141413,DÉCIO NERY DE LIMA,M,Em Exercício,21
74141,JOSIAS GOMES DA SILVA,M,Em Exercício,15
178907,FRANCISCO ALVES DE AGUIAR,M,Em Exercício,22
178893,EDSON MOREIRA DA SILVA,M,Em Exercício,46
178873,HELDER IGNACIO SALOMAO,M,Em Exercício,30
73778,LUIZ CARLOS JORGE HAULY,M,Em Exercício,34
159237,FRANCISCO DE ASSIS CARVALHO GONÇALVES,M,Em Exercício,21
141383,ANTONIO CARLOS MARTINS DE BULHÕES,M,Em Exercício,14
151208,LAERCIO JOSÉ DE OLIVEIRA,M,Suplência,2
141394,BRUNO CAVALCANTI DE ARAÚJO,M,Em Exercício,49
141428,FÁBIO SALUSTINO MESQUITA DE FARIA,M,Em Exercício,11
74471,ANDRÉ CARLOS ALVES DE PAULA FILHO,M,Em Exercício,22
178945,ROSANGELA DE SOUZA GOMES,F,Em Exercício,28
74351,JOSUÉ BENGTSON,M,Em Exercício,23
74254,LEONARDO CARNEIRO MONTEIRO PICCIANI,M,Em Exercício,21
74275,JOSÉ MENTOR GUILHERME DE MELLO NETTO,M,Em Exercício,21
74366,JOÃO CAMPOS DE ARAÚJO,M,Em Exercício,36
